,State Name,Population,income per capita,unemployment_rate(%),poverty_rate(%),no_college_education_rate(%)
0,Alabama,4817678.0,23936.0,4.747432269238417,18.46761033012169,17.988956505602907
1,Alaska,728300.0,33129.0,4.407112453659207,9.867636962790058,14.591377179733625
2,Arizona,6561516.0,25537.0,4.634096754469547,17.82071399353442,14.217232724876386
3,Arkansas,2947036.0,22595.0,3.905279745479865,18.639168303339353,19.922321953311734
4,California,38066920.0,29906.0,5.476051122601986,16.064457014121448,13.719686278795344
5,Colorado,5197580.0,31674.0,4.21813613258478,12.772501818153833,12.632782948987797
6,Connecticut,3592053.0,38480.0,5.19443894619595,10.154081802245123,17.351609232937264
7,Delaware,917060.0,30191.0,4.342027784441585,11.678734215863738,19.748762349246505
9,Florida,19361792.0,26499.0,5.29344081374286,16.31697623856304,18.810815651774384
10,Georgia,9907756.0,25427.0,5.2412574552703965,17.97973224209397,16.176750820266466
11,Hawaii,1392704.0,29552.0,3.3233910436101284,11.039818942144203,18.334692799044163
12,Idaho,1599464.0,23087.0,3.8661076460614305,15.293748405715915,15.063921413673581
13,Illinois,12868747.0,30019.0,5.203000727265832,14.068735674110307,16.34680517069766
14,Indiana,6542411.0,24953.0,4.439785271821046,15.037667306441005,20.216033508136373
15,Iowa,3078116.0,27621.0,2.904828797875064,12.145968508009444,19.325100158668484
16,Kansas,2882946.0,27367.0,3.39760092627472,13.391232440704751,15.345101850676357
17,Kentucky,4383272.0,23741.0,4.400297312144899,18.339404901178845,18.733494065620384
18,Louisiana,4601049.0,24775.0,4.121755712664656,19.009534564835107,19.63571785477616
19,Maine,1328535.0,27332.0,3.9088921255367755,13.53957554750157,20.62083422717505
20,Maryland,5887776.0,36670.0,4.380567467240602,9.738532851793275,16.044683085769567
21,Massachusetts,6657291.0,36441.0,4.642278668605593,11.157451281609893,16.47362267925497
22,Michigan,9889024.0,26143.0,5.609724478371172,16.516452988687256,18.260517923710164
23,Minnesota,5383661.0,31642.0,3.5665321423470018,11.251841451384106,16.250447418587463
24,Mississippi,2984345.0,20956.0,4.932740685141966,21.905175172441524,16.651459532996352
25,Missouri,6028076.0,26006.0,4.222474965478205,15.134032815777374,18.436977237845042
26,Montana,1006370.0,25977.0,3.506066357303974,14.914594035990739,17.305762294186035
27,Nebraska,1855617.0,27339.0,2.9523872652600187,12.489754081795974,16.488585737250734
28,Nevada,2761584.0,26515.0,6.017090191716059,15.338226177440195,17.502781012636227
29,New Hampshire,1321069.0,33821.0,3.6356163077023234,8.581989282921635,17.88248759148841
30,New Jersey,8874374.0,36359.0,5.105678439966582,10.5321795092251,18.76414043401822
31,New Mexico,2080085.0,23948.0,4.476067083797056,20.485509005641596,15.203369093089947
32,New York,19594330.0,32829.0,4.557910375093202,15.200933127083191,17.010931223471278
33,North Carolina,9750405.0,25608.0,5.186123037966115,17.118745323912187,15.8264502859112
34,North Dakota,704925.0,30894.0,1.7325247366741143,11.471433131184169,15.74593041812959
35,Ohio,11560380.0,26520.0,4.641482373416791,15.488798811111746,21.19692432255687
36,Oklahoma,3818851.0,24695.0,3.2681034164464653,16.379481681793816,17.954588958825575
37,Oregon,3900343.0,27173.0,5.287278580371009,16.378456971604805,14.423244314666682
38,Pennsylvania,12758729.0,28912.0,4.361468920611136,13.072289567401265,23.18400210553888
39,Rhode Island,1053252.0,30765.0,5.104286533517145,13.671561981368182,16.676730734904847
40,South Carolina,4727273.0,24222.0,5.122297781405897,17.772212436218513,17.919697043094402
41,South Dakota,834708.0,26311.0,2.5594579182181074,13.71066289049584,18.058171240721308
42,Tennessee,6451365.0,24811.0,4.60087128847926,17.38149988413305,18.889134314986052
43,Texas,26092033.0,26513.0,3.7658238436230707,17.246774139830347,14.213840676960665
44,Utah,2858111.0,24312.0,3.3496949558642055,12.549617562089086,12.18196214212814
45,Vermont,626358.0,29535.0,3.4553721673547715,11.50204834934654,19.069924867248442
46,Virginia,8185131.0,33958.0,3.583449061475009,11.169485253198758,15.024756476102826
47,Washington,6899123.0,31233.0,4.4781778785506505,13.282325884029028,13.859544176846825
48,West Virginia,1853881.0,23237.0,3.615927883181283,17.59686840741126,24.585450738208117
49,Wisconsin,5724692.0,27907.0,3.872033639539035,12.901253028110506,19.956025581812963
50,Wyoming,575251.0,29381.0,2.7727026984742316,11.346525255931757,16.174157020152943
